0.8425545539,0.7713970228,0.6125792741,0.3640608834,0.2735232822,0.3413583144,0.3405969484,0.1662013146,0.4284415924,0.9961601222
0.7407207296,0.5528522038,0.07075680169,0.7834522097,0.02707810343,0.4785245574,0.1385793916,0.4118648402,0.5169670726,0.6896274437
0.5627196525,0.7890378122,0.3441897258,0.4122175186,0.2117167629,0.5917598556,0.789426616,0.2247690932,0.8533896091,0.1223277256
0.1722494158,0.2964915785,0.6038676049,0.3712956714,0.117189106,0.735400092,0.6559982049,0.6120355926,0.7894228787,0.6385382391
0.5431463048,0.05974467646,0.4243728541,0.9333748332,0.8495282744,0.1574934365,0.9269619459,0.2245070399,0.1087675829,0.7389034338
0.1020832718,0.9559811883,0.2040712896,0.6116903972,0.05864997498,0.2773048274,0.9548854587,0.4682306761,0.5476550324,0.1521336674
0.4509140856,0.6880730642,0.4564688523,0.2932689807,0.4642848203,0.9306019054,0.6719550312,0.4499884704,0.3103053417,0.3382776784
0.2723218562,0.5195629665,0.671543559,0.5372128532,0.8359343221,0.7029397337,0.2630573024,0.3424439171,0.3966917391,0.5556132571
0.3522540321,0.554451983,0.6309355724,0.6680926463,0.7751515055,0.8517538035,0.3995834779,0.7086174165,0.7749346319,0.7604545187
0.7265354704,0.7393588126,0.3777560821,0.6353495053,0.5498607234,0.6890652032,0.8899309276,0.7085075047,0.3168533388,0.9848727896
